fieldIndex, name, latitudeA, longitudeA, latitudeB, longitudeB ,latitudeC, longitudeC ,latitudeD, longitudeD
 23, 포항 양덕3구장,36.07717857121038,129.39912643469424,36.07812730553196,129.39909928536534,36.07812377327378,129.39835520176513,36.07717698172737,129.39837352330125
 24, 포항 칠포운동장,36.12453287275125,129.3851135999866,36.1248888435606,129.3861498883737,36.12543407821181,129.38587182427227,36.125085488713836,129.38482459521748
 25, 포항 스틸야드,35.997619697514104,129.3851305432905,35.998268570928175,129.38428071611668,35.99781527101427,129.38375631430864,35.99716364569016,129.3846094036028
 26, 포항공대 풋살장A,36.01763828740419,129.32427620294948,36.01798046495139,129.32430073582142,36.0179901482515,129.32407903608964,36.01763895929588,129.32405429644714
 27, 포항공대 풋살장B,36.01709552833371,129.3242226350274,36.01742677419035,129.32425468263062,36.01743899201028,129.32404413893582,36.01711478639338,129.32402335051228
 28, 포항공대 대운동장,36.0125195369461,129.31925404933298,36.01312346669342,129.32014780272584,36.013572094388806,129.31969210784544,36.0129635715228,129.31880379481441
 29, 포항 스틸러스 연습구장A,36.21771886673156,129.35896402955385,36.218593434621354,129.35848746783532,36.21833863426187,129.35777170575778,36.21746422446314,129.3582382660313
 30, J Green Sakai S1,34.603677,135.443052,34.604624,135.443043,34.604627,135.443784,34.603681,135.44379
 31, J Green Sakai S2,34.604924,135.442615,34.60587,135.442613,34.605872,135.443353,34.604929,135.443355
 32, J Green Sakai S3,34.604928,135.443433,34.605873,135.44343,34.605877,135.44417,34.604933,135.444172
 33, J Green Sakai S4,34.604932,135.444272,34.605877,135.444271,34.605881,135.445011,34.604936,135.445012
 34, J Green Sakai S5,34.604936,135.445095,34.605882,135.445095,34.605884,135.445833,34.60494,135.445836
 35, 인천 축구전용경기장,37.46567444389969,126.64355292960731,37.46659835234638,126.64330831126176,37.46645750257815,126.64252965977501,37.46552663175031,126.64280829057358
 36, 서울 디지털운동장,37.481100745735205,126.87805613131042,37.4819892093421,126.87766194446925,37.481787057059975,126.8769306965055,37.480898572088385,126.8773203669001
 37, Nagano U Stadium,36.580457,138.170292,36.579512,138.170309,36.579502,138.169551,36.580447,138.169533
